,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
809,R Systems International,3.3k,1.1k,Software Product - Noida +21 other locations,7k,120,46,N/A,"Job Security, Promotions / Appraisal, Skill Development / Learning"
810,ANZ Banking Group,4.0k,1.1k,"Banking - Bangalore , Bengaluru +17 other locations",7.3k,91,26,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
811,TÜV SÜD,3.9k,1.1k,"Industrial Machinery - Bangalore , Bengaluru +115 other locations",3.5k,68,37,N/A,Promotions / Appraisal
812,CreditAccess Grameen,4.2k,1.1k,"NBFC - Bangalore , Bengaluru +296 other locations",2.4k,45,9,"Company Culture, Job Security, Work Life Balance",N/A
813,Samsung Research,3.2k,1.1k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +17 other locations",8.6k,137,1,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
814,Fidelity National Financial,3.7k,1.1k,"Financial Services - Bangalore , Bengaluru +13 other locations",5.9k,52,4,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
815,Tenneco,3.7k,1.1k,Auto Components - Pune +39 other locations,4.7k,64,17,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
816,Nippon Paint India,4.0k,1.1k,Chemicals - Chennai +149 other locations,3.7k,63,3,N/A,Promotions / Appraisal
817,Edelweiss,3.8k,1.1k,Financial Services - Mumbai +111 other locations,6.4k,59,7,Work Life Balance,Promotions / Appraisal
818,Shubham Housing Development Finance,3.9k,1.1k,NBFC - New Delhi +141 other locations,3k,44,9,"Skill Development / Learning, Salary & Benefits",N/A
819,Northern Trust Operating Services,3.9k,1.1k,"Financial Services - Bangalore , Bengaluru +17 other locations",6.6k,105,67,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
820,Best Sellers,4.1k,1.1k,Retail - Mumbai +88 other locations,2.9k,30,3,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
821,Oil And Natural Gas Corporation,4.3k,1.1k,Oil & Gas - Mumbai +76 other locations,3k,71,--,"Work Life Balance, Job Security, Company Culture",N/A
822,Luminous Power Technologies,4.2k,1.1k,"Consumer Electronics & Appliances - Gurgaon , Gurugram +124 other locations",3.4k,73,30,"Work Life Balance, Job Security, Company Culture",N/A
823,DENSO,4.2k,1.1k,"Auto Components - Gurgaon , Gurugram +38 other locations",3.7k,78,--,"Job Security, Company Culture, Salary & Benefits",N/A
824,iSON Xperiences,3.3k,1.1k,Chennai +39 other locations,3.2k,67,6,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
825,Fresenius Kabi,4.1k,1.1k,Pharma - Pune +61 other locations,4.4k,45,4,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
826,Rungta Mines,4.0k,1.1k,Metals & Mining - Chaibasa +39 other locations,4.1k,110,4,"Work Life Balance, Job Security, Salary & Benefits",N/A
827,VMware Software,4.4k,1.1k,"Software Product - Bangalore , Bengaluru +18 other locations",9.2k,145,24,"Salary & Benefits, Company Culture, Work Life Balance",N/A
828,EbixCash Limited,4.0k,1.1k,Software Product - Noida +75 other locations,5.1k,105,14,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
829,Mu Sigma,2.6k,1.1k,"Analytics & KPO - Bangalore , Bengaluru +15 other locations",6.6k,240,--,N/A,"Work Life Balance, Job Security, Company Culture"
830,Shriram Pistons & Rings,4.1k,1.1k,Auto Components - Ghaziabad +58 other locations,4.3k,66,--,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
831,Zoho,4.3k,1.1k,Software Product - Chennai +34 other locations,7.6k,529,--,"Job Security, Company Culture, Work Life Balance",N/A
832,INDIUM,4.0k,1.1k,IT Services & Consulting - Chennai +13 other locations,5.9k,193,100,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
833,SHYAM METALICS AND ENERGY,3.6k,1.1k,Iron & Steel - Sambalpur +68 other locations,3.8k,116,4,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
834,Jet Airways,4.6k,1.1k,Aviation - Mumbai +44 other locations,2.2k,23,--,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
835,Automotive Manufacturers,3.9k,1.1k,"Automobile - Hyderabad , Secunderabad +137 other locations",5.3k,87,50,N/A,Promotions / Appraisal
